Fecha de creacion,Count
06/05/2024,28
07/05/2024,33
08/05/2024,26
09/05/2024,61
10/05/2024,52
13/05/2024,39
14/05/2024,56
15/05/2024,55
16/05/2024,34
17/05/2024,28
20/05/2024,105
21/05/2024,64
22/05/2024,32
23/05/2024,37
24/05/2024,1
27/05/2024,80
28/05/2024,36
29/05/2024,71
31/05/2024,8
02/06/2024,3
03/06/2024,48
04/06/2024,45
05/06/2024,35
06/06/2024,39
07/06/2024,57
08/06/2024,9
10/06/2024,28
11/06/2024,81
12/06/2024,67
13/06/2024,79
14/06/2024,29
15/06/2024,8
17/06/2024,61
18/06/2024,17
19/06/2024,74
20/06/2024,92
21/06/2024,67
22/06/2024,19
23/06/2024,3
24/06/2024,65
25/06/2024,68
26/06/2024,75
27/06/2024,46
28/06/2024,82
29/06/2024,27
